iter	Passed	Remaining
0	0	26886
1	1	15863
2	1	12261
3	1	10488
4	1	9397
5	1	8668
6	1	8125
7	2	7686
8	2	7383
9	2	7143
10	2	6934
11	2	6738
12	2	6550
13	2	6406
14	3	6278
15	3	6188
16	3	6099
17	3	6031
18	3	5949
19	3	5891
20	4	5815
21	4	5771
22	4	5718
23	4	5679
24	4	5642
25	4	5603
26	5	5564
27	5	5530
28	5	5502
29	5	5473
30	5	5452
31	5	5428
32	5	5407
33	6	5382
34	6	5354
35	6	5327
36	6	5309
37	6	5289
38	6	5269
39	7	5248
40	7	5231
41	7	5213
42	7	5207
43	7	5194
44	7	5186
45	7	5166
46	8	5152
47	8	5135
48	8	5123
49	8	5114
50	8	5099
51	8	5083
52	8	5072
53	9	5058
54	9	5044
55	9	5033
56	9	5029
57	9	5020
58	9	5008
59	10	4996
60	10	4986
61	10	4977
62	10	4967
63	10	4956
64	10	4947
65	10	4944
66	11	4941
67	11	4930
68	11	4924
69	11	4918
70	11	4910
71	11	4959
72	12	4951
73	12	4944
74	12	4939
75	12	4937
76	12	4927
77	12	4917
78	12	4909
79	13	4902
80	13	4898
81	13	4888
82	13	4880
83	13	4877
84	13	4871
85	13	4866
86	14	4861
87	14	4857
88	14	4854
89	14	4850
90	14	4845
91	14	4842
92	15	4839
93	15	4833
94	15	4829
95	15	4827
96	15	4828
97	15	4826
98	15	4821
99	16	4817
100	16	4816
101	16	4818
102	16	4812
103	16	4810
104	16	4809
105	17	4806
106	17	4802
107	17	4798
108	17	4796
109	17	4791
110	17	4788
111	17	4782
112	18	4777
113	18	4775
114	18	4772
115	18	4771
116	18	4769
117	18	4769
118	18	4769
119	19	4766
120	19	4768
121	19	4767
122	19	4766
123	19	4764
124	19	4762
125	20	4760
126	20	4758
127	20	4761
128	20	4760
129	20	4759
130	20	4758
131	21	4755
132	21	4754
133	21	4753
134	21	4752
135	21	4750
136	21	4746
137	21	4744
138	22	4742
139	22	4738
140	22	4735
141	22	4733
142	22	4733
143	22	4733
144	22	4727
145	23	4727
146	23	4725
147	23	4723
148	23	4721
149	23	4721
150	23	4719
151	24	4720
152	24	4719
153	24	4718
154	24	4716
155	24	4712
156	24	4708
157	24	4708
158	25	4707
159	25	4707
160	25	4707
161	25	4708
162	25	4705
163	25	4705
164	26	4705
165	26	4705
166	26	4704
167	26	4702
168	26	4699
169	26	4698
170	26	4696
171	27	4694
172	27	4691
173	27	4689
174	27	4687
175	27	4688
176	27	4686
177	27	4685
178	28	4683
179	28	4684
180	28	4681
181	28	4680
182	28	4700
183	28	4697
184	29	4698
185	29	4699
186	29	4698
187	29	4697
188	29	4698
189	29	4697
190	30	4694
191	30	4693
192	30	4691
193	30	4692
194	30	4691
195	30	4690
196	31	4690
197	31	4691
198	31	4690
199	31	4690
200	31	4690
201	31	4691
202	31	4691
203	32	4689
204	32	4690
205	32	4691
206	32	4689
207	32	4689
208	32	4688
209	33	4688
210	33	4689
211	33	4689
212	33	4694
213	33	4694
214	33	4694
215	34	4693
216	34	4692
217	34	4692
218	34	4691
219	34	4689
220	34	4689
221	34	4688
222	35	4689
223	35	4689
224	35	4688
225	35	4688
226	35	4688
227	35	4687
228	36	4688
229	36	4689
230	36	4690
231	36	4691
232	36	4690
233	36	4691
234	37	4691
235	37	4693
236	37	4692
237	37	4693
238	37	4693
239	37	4693
240	38	4693
241	38	4693
242	38	4692
243	38	4692
244	38	4692
245	38	4692
246	38	4691
247	39	4691
248	39	4691
249	39	4690
250	39	4691
251	39	4690
252	39	4690
253	40	4690
254	40	4691
255	40	4693
256	40	4693
257	40	4692
258	40	4693
259	41	4693
260	41	4692
261	41	4690
262	41	4689
263	41	4690
264	41	4689
265	41	4689
266	42	4689
267	42	4689
268	43	4771
269	43	4770
270	43	4769
271	43	4768
272	43	4767
273	43	4765
274	44	4764
275	44	4764
276	44	4764
277	44	4762
278	44	4760
279	44	4761
280	45	4759
281	45	4759
282	45	4758
283	45	4756
284	45	4756
285	45	4756
286	45	4755
287	46	4754
288	46	4754
289	46	4755
290	46	4755
291	46	4754
292	46	4753
293	47	4754
294	47	4753
295	47	4752
296	47	4751
297	47	4751
298	47	4750
299	47	4750
300	48	4750
301	48	4749
302	48	4750
303	48	4749
304	48	4749
305	48	4749
306	49	4749
307	49	4748
308	49	4755
309	49	4753
310	49	4753
311	49	4752
312	50	4752
313	50	4750
314	50	4749
315	50	4749
316	50	4747
317	50	4745
318	50	4744
319	51	4744
320	51	4743
321	51	4742
322	51	4741
323	51	4741
324	51	4740
325	52	4739
326	52	4738
327	52	4737
328	52	4735
329	52	4735
330	52	4735
331	52	4734
332	53	4732
333	53	4730
334	53	4729
335	53	4728
336	53	4727
337	53	4726
338	54	4726
339	54	4725
340	54	4725
341	54	4723
342	54	4723
343	54	4724
344	54	4723
345	55	4721
346	55	4720
347	55	4719
348	55	4718
349	55	4717
350	55	4716
351	55	4715
352	56	4713
353	56	4712
354	56	4711
355	56	4709
356	56	4708
357	56	4707
358	57	4707
359	57	4706
360	57	4706
361	57	4706
362	57	4705
363	57	4704
364	57	4703
365	58	4701
366	58	4701
367	58	4700
368	58	4700
369	58	4708
370	58	4706
371	59	4706
372	59	4705
373	59	4705
374	59	4703
375	59	4704
376	59	4703
377	60	4703
378	60	4702
379	60	4701
380	60	4700
381	60	4700
382	60	4700
383	60	4700
384	61	4699
385	61	4698
386	61	4697
387	61	4698
388	61	4697
389	61	4696
390	62	4695
391	62	4695
392	62	4694
393	62	4693
394	62	4693
395	62	4692
396	62	4692
397	63	4691
398	63	4690
399	63	4689
400	63	4689
401	63	4690
402	63	4689
403	64	4688
404	64	4688
405	64	4688
406	64	4687
407	64	4687
408	64	4694
409	65	4693
410	65	4693
411	65	4693
412	65	4692
413	65	4691
414	65	4690
415	65	4690
416	66	4689
417	66	4689
418	66	4689
419	66	4688
420	66	4686
421	66	4686
422	67	4686
423	67	4686
424	67	4686
425	67	4686
426	67	4684
427	67	4683
428	67	4682
429	68	4681
430	68	4680
431	68	4678
432	68	4677
433	68	4675
434	68	4674
435	68	4673
436	69	4672
437	69	4670
438	69	4669
439	69	4668
440	69	4666
441	69	4665
442	69	4664
443	70	4662
444	70	4661
445	70	4660
446	70	4659
447	70	4658
448	70	4657
449	70	4656
450	71	4656
451	71	4656
452	71	4654
453	71	4653
454	71	4652
455	71	4651
456	71	4650
457	72	4649
458	72	4648
459	72	4647
460	72	4647
461	72	4646
462	72	4646
463	72	4646
464	73	4645
465	73	4644
466	73	4643
467	73	4643
468	73	4643
469	73	4642
470	74	4641
471	74	4640
472	74	4640
473	74	4640
474	74	4640
475	74	4640
476	74	4640
477	75	4640
478	75	4639
479	75	4639
480	75	4639
481	75	4638
482	75	4637
483	76	4636
484	76	4637
485	76	4636
486	76	4636
487	76	4636
488	76	4635
489	76	4635
490	77	4634
491	77	4634
492	77	4634
493	77	4634
494	77	4633
495	77	4633
496	78	4632
497	78	4632
498	78	4632
499	78	4632
500	78	4631
501	78	4631
502	78	4630
503	79	4630
504	79	4629
505	79	4629
506	79	4628
507	79	4628
508	79	4628
509	80	4627
510	80	4627
511	80	4627
512	80	4626
513	80	4626
514	80	4625
515	80	4625
516	81	4624
517	81	4624
518	81	4623
519	81	4622
520	81	4621
521	81	4621
522	81	4621
523	82	4620
524	82	4620
525	82	4619
526	82	4619
527	82	4619
528	82	4618
529	83	4618
530	83	4617
531	83	4617
532	83	4617
533	83	4616
534	83	4616
535	83	4616
536	84	4614
537	84	4614
538	84	4614
539	84	4614
540	84	4614
541	84	4613
542	85	4613
543	85	4612
544	85	4611
545	85	4611
546	85	4611
547	85	4609
548	85	4609
549	86	4608
550	86	4608
551	86	4608
552	86	4609
553	86	4609
554	86	4608
555	87	4608
556	87	4608
557	87	4607
558	87	4606
559	87	4606
560	87	4606
561	87	4605
562	88	4605
563	88	4605
564	88	4604
565	89	4643
566	89	4643
567	89	4643
568	89	4643
569	89	4643
570	90	4643
571	90	4644
572	90	4644
573	90	4644
574	90	4644
575	90	4644
576	91	4644
577	91	4644
578	91	4643
579	91	4643
580	91	4643
581	91	4642
582	92	4642
583	92	4641
584	92	4641
585	92	4640
586	93	4674
587	93	4673
588	93	4673
589	93	4674
590	93	4674
591	94	4674
592	94	4674
593	94	4674
594	94	4673
595	94	4672
596	94	4672
597	95	4672
598	95	4671
599	95	4671
600	95	4671
601	95	4671
602	95	4671
603	95	4670
604	96	4670
605	96	4670
606	96	4670
607	96	4669
608	96	4669
609	96	4669
610	97	4669
611	97	4669
612	97	4668
613	97	4668
614	97	4673
615	97	4673
616	98	4672
617	98	4672
618	98	4672
619	98	4672
620	98	4672
621	98	4671
622	99	4671
623	99	4670
624	99	4670
625	99	4669
626	99	4669
627	99	4668
628	99	4668
629	100	4702
630	101	4701
631	101	4701
632	101	4701
633	101	4707
634	101	4709
635	102	4711
636	102	4710
637	102	4710
638	102	4709
639	102	4709
640	102	4708
641	102	4709
642	103	4708
643	103	4709
644	103	4708
645	103	4708
646	103	4708
647	103	4707
648	104	4707
649	104	4706
650	104	4706
651	104	4706
652	104	4706
653	104	4706
654	105	4705
655	105	4705
656	105	4705
657	105	4705
658	105	4705
659	105	4704
660	105	4704
661	106	4705
662	106	4704
663	106	4704
664	106	4704
665	106	4704
666	106	4703
667	107	4703
668	107	4703
669	107	4703
670	107	4703
671	107	4702
672	107	4702
673	108	4702
674	108	4702
675	108	4702
676	108	4702
677	108	4700
678	108	4699
679	108	4698
680	109	4698
681	109	4697
682	109	4697
683	109	4696
684	109	4696
685	109	4696
686	110	4696
687	110	4695
688	110	4695
689	110	4695
